Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
NURECA,1,0,1,-7160,-7.16,367.45001220703125,255.3000030517578
NUVAMA,0,0,0,0,0.0,,
NUVOCO,0,0,0,0,0.0,,
NYKAA,0,0,0,0,0.0,,
OAL,1,0,1,-9080,-9.08,433.95001220703125,298.04998779296875
OBCL,0,0,0,0,0.0,,
OBEROIRLTY,3,2,1,121065,121.07,"264.8999938964844, 188.10000610351562, 365.79998779296875","197.85000610351562, 607.5999755859375, 1119.550048828125"
OCCL,0,0,0,0,0.0,,
OFSS,3,2,1,108975,108.97,"1397.0, 608.3499755859375, 2113.699951171875","770.2000122070312, 1840.550048828125, 6521.10009765625"
OIL,3,1,2,42124,42.12,"242.29005432128906, 166.02503967285156, 204.64999389648438","175.77503967285156, 108.0, 620.1500244140625"
OILCOUNTUB,2,1,1,68631,68.63,"80.1500015258789, 4.800000190734863","51.150001525878906, 16.850000381469727"
OLECTRA,4,2,2,114586,114.59,"19.899999618530273, 14.350000381469727, 10.050000190734863, 72.5999984741211","14.0, 10.649999618530273, 30.75, 223.60000610351562"
OMAXAUTO,6,1,5,16984,16.98,"93.69999694824219, 39.95000076293945, 45.75, 91.75, 50.95000076293945, 34.54999923706055","64.75, 25.450000762939453, 33.650001525878906, 66.9000015258789, 32.79999923706055, 110.3499984741211"
OMAXE,3,1,2,40794,40.79,"43.77552032470703, 126.7500228881836, 82.44999694824219","132.04287719726562, 83.6500015258789, 57.29999923706055"
OMINFRAL,3,1,2,40626,40.63,"48.95000076293945, 18.649999618530273, 15.850000381469727","28.950000762939453, 13.899999618530273, 50.0"
OMKARCHEM,3,1,2,44486,44.49,"17.1812744140625, 13.449999809265137, 4.699999809265137","59.970760345458984, 6.849999904632568, 2.450000047683716"
ONELIFECAP,6,1,5,6613,6.61,"232.5500030517578, 49.54999923706055, 32.150001525878906, 18.450000762939453, 7.550000190734863, 6.349999904632568","172.89999389648438, 29.0, 22.149999618530273, 13.5, 3.5999999046325684, 20.200000762939453"
ONEPOINT,2,1,1,73655,73.65,"4.679999828338623, 2.0866661071777344","2.2799999713897705, 7.71999979019165"
ONGC,2,1,1,52666,52.67,"130.35000610351562, 83.19999694824219","91.94999694824219, 252.25"
ONMOBILE,3,0,3,-33586,-33.59,"159.35000610351562, 65.44999694824219, 35.79999923706055","99.875, 41.20000076293945, 23.049999237060547"
ONWARDTEC,4,1,3,46505,46.5,"44.5, 44.79999923706055, 58.95000076293945, 62.0","28.649999618530273, 32.900001525878906, 43.25, 209.64999389648438"
OPTIEMUS,2,1,1,76196,76.2,"117.30000305175781, 25.549999237060547","55.349998474121094, 102.0999984741211"
ORBTEXP,1,0,1,-9435,-9.44,162.14999389648438,112.0
ORCHPHARMA,4,3,1,331449,331.45,"77.19999694824219, 51.54999923706055, 5.5, 359.70001220703125","234.3000030517578, 32.95000076293945, 42.5, 1182.5999755859375"
ORICONENT,1,0,1,-11521,-11.52,32.650001525878906,19.850000381469727
ORIENTALTL,2,0,2,-20501,-20.5,"18.25, 2.5","12.449999809265137, 1.75"
ORIENTBELL,4,2,2,104903,104.9,"57.150001525878906, 19.0, 141.85000610351562, 83.55000305175781","40.900001525878906, 58.25, 101.3499984741211, 275.1499938964844"
ORIENTCEM,3,1,2,57976,57.98,"152.39999389648438, 79.0, 71.4000015258789","110.05000305175781, 44.70000076293945, 260.04998779296875"
ORIENTCER,0,0,0,0,0.0,,
ORIENTELEC,0,0,0,0,0.0,,
ORIENTHOT,3,1,2,46031,46.03,"34.119998931884766, 22.649999618530273, 19.25","23.114999771118164, 16.450000762939453, 58.70000076293945"
ORIENTLTD,7,3,4,190328,190.33,"27.200000762939453, 20.799999237060547, 29.0, 23.649999618530273, 83.4000015258789, 69.69999694824219, 76.0999984741211","17.200000762939453, 64.80000305175781, 16.350000381469727, 102.25, 62.45000076293945, 216.25, 55.400001525878906"
ORIENTPPR,5,1,4,35468,35.47,"15.620453834533691, 2.73573899269104, 42.650001525878906, 45.099998474121094, 32.79999923706055","10.635187149047852, 9.113431930541992, 29.950000762939453, 32.650001525878906, 24.100000381469727"
ORISSAMINE,3,1,2,46991,46.99,"1830.1500244140625, 789.8499755859375, 820.1500244140625","1185.0, 579.0, 2606.949951171875"
ORTINLAB,2,0,2,-15413,-15.41,"21.835004806518555, 12.54000186920166","15.785002708435059, 9.295001029968262"
OSIAHYPER,3,1,2,54720,54.72,"16.75, 14.6875, 10.621874809265137","12.5, 8.75, 35.54999923706055"
OSWALAGRO,1,0,1,-16134,-16.13,7.25,4.0
OSWALGREEN,5,1,4,20396,20.4,"26.799999237060547, 14.550000190734863, 12.800000190734863, 34.75, 36.900001525878906","17.200000762939453, 10.600000381469727, 40.20000076293945, 20.850000381469727, 21.399999618530273"
OSWALSEEDS,2,1,1,68489,68.49,"4.666666030883789, 4.675000190734863","3.4666659832000732, 16.633333206176758"
PAGEIND,1,0,1,-6984,-6.98,24972.25,18173.099609375
PAISALO,4,1,3,55407,55.41,"10.175000190734863, 18.657499313354492, 13.770000457763672, 9.34749984741211","7.0, 10.725000381469727, 9.104999542236328, 35.13750076293945"
PAKKA,0,0,0,0,0.0,,
PALASHSECU,1,1,0,58698,58.7,27.799999237060547,85.25
PALREDTEC,6,0,6,-50677,-50.68,"296.5, 73.0, 52.0, 81.0, 40.79999923706055, 148.10000610351562","216.75, 50.0, 38.25, 57.0, 28.450000762939453, 110.30000305175781"
PANACEABIO,3,1,2,49729,49.73,"340.05975341796875, 62.88747024536133, 146.51080322265625","234.97817993164062, 201.66482543945312, 108.44999694824219"
PANACHE,0,0,0,0,0.0,,
PANAMAPET,3,2,1,147499,147.5,"12.399999618530273, 129.3000030517578, 42.150001525878906","39.0444450378418, 96.5999984741211, 168.9499969482422"
PANSARI,2,1,1,63608,63.61,"21.75, 105.55000305175781","73.55000305175781, 76.75"
PAR,0,0,0,0,0.0,,
PARACABLES,4,1,3,61077,61.08,"32.599998474121094, 9.399999618530273, 4.150000095367432, 14.050000190734863","21.75, 6.5, 17.299999237060547, 9.050000190734863"
PARADEEP,0,0,0,0,0.0,,
PARAGMILK,1,0,1,-12730,-12.73,243.4499969482422,139.9499969482422
PARAS,1,0,1,-10020,-10.02,715.6500244140625,463.29998779296875
PARASPETRO,2,0,2,-13333,-13.33,"0.8999999761581421, 1.350000023841858","0.6499999761581421, 0.949999988079071"
PARSVNATH,6,2,4,107646,107.65,"24.225000381469727, 59.099998474121094, 40.099998474121094, 26.100000381469727, 2.299999952316284, 9.550000190734863","80.19999694824219, 39.04999923706055, 28.600000381469727, 19.049999237060547, 7.550000190734863, 6.699999809265137"
PASUPTAC,0,0,0,0,0.0,,
PATANJALI,4,2,2,108041,108.04,"2745.0, 3285.0, 895.0, 172.0500030517578","8400.0, 2205.0, 595.0, 573.0"
PATELENG,7,1,6,1739,1.74,"228.5714111328125, 116.17572784423828, 70.57241821289062, 51.70686721801758, 63.879310607910156, 33.1881103515625, 12.696520805358887","697.4705200195312, 70.32966613769531, 46.123497009277344, 33.74298095703125, 41.78858184814453, 23.09642791748047, 8.600869178771973"
PATINTLOG,4,1,3,26092,26.09,"42.015052795410156, 22.444822311401367, 12.211271286010742, 7.588924884796143","30.861629486083984, 9.934593200683594, 7.220976829528809, 23.350000381469727"
PAVNAIND,0,0,0,0,0.0,,
PAYTM,1,0,1,-8202,-8.2,675.7000122070312,481.70001220703125
PCBL,8,5,3,306135,306.13,"6.09499979019165, 20.21500015258789, 4.570000171661377, 10.760000228881836, 4.349999904632568, 13.295000076293945, 11.960000038146973, 44.224998474121094","18.299999237060547, 13.180000305175781, 14.119999885559082, 7.360000133514404, 14.46500015258789, 8.274999618530273, 42.42499923706055, 135.75"
PCJEWELLER,2,1,1,88187,88.19,"68.8499984741211, 16.700000762939453","45.400001525878906, 71.3499984741211"
PDMJEPAPER,2,0,2,-20070,-20.07,"20.399999618530273, 17.200000762939453","13.899999618530273, 11.050000190734863"
PDSL,1,1,0,78908,78.91,33.79999923706055,120.91000366210938
PEARLPOLY,6,1,5,9276,9.28,"17.799999237060547, 14.25, 15.899999618530273, 5.650000095367432, 15.600000381469727, 14.600000381469727","12.199999809265137, 9.800000190734863, 10.399999618530273, 17.049999237060547, 10.699999809265137, 10.699999809265137"
PEL,3,1,2,47268,47.27,"112.37118530273438, 1474.3394775390625, 1026.7802734375","344.673095703125, 1103.883056640625, 759.10791015625"
PENIND,1,1,0,64274,64.27,18.899999618530273,59.70000076293945
PENINLAND,5,0,5,-51779,-51.78,"104.0999984741211, 34.5, 24.200000762939453, 16.950000762939453, 5.5","51.150001525878906, 23.100000381469727, 16.75, 11.399999618530273, 4.099999904632568"
PERSISTENT,2,1,1,52984,52.98,"350.5, 317.54998779296875","260.2749938964844, 961.0250244140625"
PETRONET,1,0,1,-11245,-11.25,24.600000381469727,15.574999809265137
PFC,1,1,0,67537,67.54,53.2400016784668,172.72000122070312
PFIZER,2,1,1,52314,52.31,"819.8499755859375, 1196.25","571.1500244140625, 3621.300048828125"
PFOCUS,4,3,1,190273,190.27,"11.25, 32.25, 47.400001525878906, 37.25","37.959999084472656, 104.30000305175781, 25.600000381469727, 115.8499984741211"
PFS,5,2,3,118133,118.13,"14.949999809265137, 11.25, 19.5, 15.899999618530273, 12.550000190734863","10.25, 40.79999923706055, 14.600000381469727, 7.900000095367432, 42.0"
PGEL,4,2,2,103888,103.89,"223.1999969482422, 84.5999984741211, 56.849998474121094, 44.599998474121094","82.19999694824219, 287.8500061035156, 27.0, 144.5500030517578"
PGHH,2,2,0,120167,120.17,"1805.0999755859375, 5771.39990234375","5576.9501953125, 17952.44921875"
