ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent,Ticker,Fast Period,Slow Period
,2016-03-01,51.5,2022-02-01,75.75,14491.800888061523,28499.11764586735,PFOCUS,50,100
,2015-08-01,4.525000095367432,2020-05-01,4.599999904632568,1160.0762643814087,25082.730040679107,PILITA,22,100
,2021-02-01,14.100000381469727,2023-02-01,7.0,-16165.200811386108,-110720.550609731,PILITA,22,100
,2015-05-01,5.675000190734863,2020-12-01,9.850000381469727,23787.0,417315.8034380128,PILITA,30,100
,2021-02-01,14.100000381469727,2023-09-01,8.699999809265137,-12549.301217079163,-85954.11567938516,PILITA,30,100
,2013-05-01,3.200000047683716,2022-07-01,7.800000190734863,44995.20178794861,1499840.059598287,PILITA,50,100
,2015-05-01,153.64999389648438,2016-03-01,84.69999694824219,-13513.500595092773,-8786.411135860068,PNB,22,100
,2014-11-01,214.4600067138672,2015-05-01,153.64999389648438,-8645.799575805664,-4002.6849887989188,PNB,30,100
,2018-05-01,10.300000190734863,2020-01-01,6.25,-13104.0,-121897.67441860466,PRAENG,22,100
,2018-09-01,8.600000381469727,2020-06-01,6.75,-6104.0,-73542.16698469216,PRAENG,30,100
,2017-12-01,169.4019317626953,2020-06-01,35.099998474121094,-23893.95073699951,-14047.49188255257,PRAKASH,22,100
,2017-12-01,169.4019317626953,2020-02-01,36.75,-23380.650466918945,-13745.717535704882,PRAKASH,22,150
,2018-02-01,181.16835021972656,2020-12-01,55.0,-20980.18581390381,-11492.677120171986,PRAKASH,30,100
,2018-03-01,146.30166625976562,2020-09-01,39.54999923706055,-22270.14181137085,-15013.426367969128,PRAKASH,30,150
,2018-05-01,155.81863403320312,2022-06-01,50.599998474121094,-20367.01171875,-13049.236562861113,PRAKASH,50,100
,2020-04-01,32.349998474121094,2022-06-01,50.599998474121094,16361.551414489746,50576.66827273094,PRAKASH,50,150
,2014-07-01,39.82636260986328,2020-02-01,32.09222412109375,-6158.507577896118,-15394.667193230836,PRICOLLTD,22,100
,2014-09-01,53.38332748413086,2020-08-01,38.18174743652344,-9625.26830291748,-17940.846081692645,PRICOLLTD,30,100
,2014-11-01,74.8499984741211,2020-05-01,33.099998474121094,-16660.000610351562,-22051.62135988019,PRSMJOHNSN,22,100
,2014-07-01,72.0,2020-09-01,55.70000076293945,-6052.7996826171875,-8525.069975517164,PRSMJOHNSN,30,100
,2017-08-01,119.5999984741211,2019-12-01,56.54999923706055,-15799.999237060547,-13183.145129928558,PTC,22,100
