Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
NFL,1,0,1,-11599,-11.6,77.5999984741211,46.150001525878906
NH,0,0,0,0,0.0,,
NHPC,0,0,0,0,0.0,,
NIACL,0,0,0,0,0.0,,
NIITLTD,0,0,0,0,0.0,,
NILAINFRA,0,0,0,0,0.0,,
NILASPACES,0,0,0,0,0.0,,
NILKAMAL,0,0,0,0,0.0,,
NIPPOBATRY,1,0,1,-13683,-13.68,590.2249755859375,330.1499938964844
NITCO,0,0,0,0,0.0,,
NITINSPIN,1,1,0,151868,151.87,14.0,87.0999984741211
NITIRAJ,0,0,0,0,0.0,,
NLCINDIA,0,0,0,0,0.0,,
NMDC,1,0,1,-12518,-12.52,140.0082244873047,83.1671142578125
NOCIL,1,1,0,74198,74.2,33.79999923706055,117.5
NOIDATOLL,0,0,0,0,0.0,,
NRAIL,0,0,0,0,0.0,,
NRBBEARING,1,1,0,4324,4.32,96.75,107.0999984741211
NSIL,0,0,0,0,0.0,,
NTPC,0,0,0,0,0.0,,
NUCLEUS,1,1,0,2761,2.76,139.8000030517578,151.5
NURECA,0,0,0,0,0.0,,
OAL,0,0,0,0,0.0,,
OBEROIRLTY,0,0,0,0,0.0,,
OCCL,0,0,0,0,0.0,,
OFSS,2,0,2,-11759,-11.76,"2261.39990234375, 4235.2001953125","1857.449951171875, 3293.85009765625"
OIL,0,0,0,0,0.0,,
OLECTRA,0,0,0,0,0.0,,
OMAXAUTO,0,0,0,0,0.0,,
OMAXE,0,0,0,0,0.0,,
OMINFRAL,0,0,0,0,0.0,,
ONEPOINT,0,0,0,0,0.0,,
ONGC,0,0,0,0,0.0,,
ONMOBILE,2,1,1,-1877,-1.88,"72.94999694824219, 109.0999984741211","80.1500015258789, 88.5"
ONWARDTEC,0,0,0,0,0.0,,
